,date,value
0,2012-12-31,13104.14
1,2013-01-01,
2,2013-01-02,13412.55
3,2013-01-03,13391.36
4,2013-01-04,13435.21
5,2013-01-07,13384.29
6,2013-01-08,13328.85
7,2013-01-09,13390.51
8,2013-01-10,13471.22
9,2013-01-11,13488.43
10,2013-01-14,13507.32
11,2013-01-15,13534.89
12,2013-01-16,13511.23
13,2013-01-17,13596.02
14,2013-01-18,13649.7
15,2013-01-21,
16,2013-01-22,13712.21
17,2013-01-23,13779.33
18,2013-01-24,13825.33
19,2013-01-25,13895.98
20,2013-01-28,13881.93
21,2013-01-29,13954.42
22,2013-01-30,13910.42
23,2013-01-31,13860.58
24,2013-02-01,14009.79
25,2013-02-04,13880.08
26,2013-02-05,13979.3
27,2013-02-06,13986.52
28,2013-02-07,13944.05
29,2013-02-08,13992.97
30,2013-02-11,13971.24
31,2013-02-12,14018.7
32,2013-02-13,13982.91
33,2013-02-14,13973.39
34,2013-02-15,13981.76
35,2013-02-18,
36,2013-02-19,14035.67
37,2013-02-20,13927.54
38,2013-02-21,13880.62
39,2013-02-22,14000.57
40,2013-02-25,13784.17
41,2013-02-26,13900.13
42,2013-02-27,14075.37
43,2013-02-28,14054.49
44,2013-03-01,14089.66
45,2013-03-04,14127.82
46,2013-03-05,14253.77
47,2013-03-06,14296.24
48,2013-03-07,14329.49
49,2013-03-08,14397.07
50,2013-03-11,14447.29
51,2013-03-12,14450.06
52,2013-03-13,14455.28
53,2013-03-14,14539.14
54,2013-03-15,14514.11
55,2013-03-18,14452.06
56,2013-03-19,14455.82
57,2013-03-20,14511.73
58,2013-03-21,14421.49
59,2013-03-22,14512.03
60,2013-03-25,14447.75
61,2013-03-26,14559.65
62,2013-03-27,14526.16
63,2013-03-28,14578.54
64,2013-03-29,
65,2013-04-01,14572.85
66,2013-04-02,14662.01
67,2013-04-03,14550.35
68,2013-04-04,14606.11
69,2013-04-05,14565.25
70,2013-04-08,14613.48
71,2013-04-09,14673.46
72,2013-04-10,14802.24
73,2013-04-11,14865.14
74,2013-04-12,14865.06
75,2013-04-15,14599.2
76,2013-04-16,14756.78
77,2013-04-17,14618.59
78,2013-04-18,14537.14
79,2013-04-19,14547.51
80,2013-04-22,14567.17
81,2013-04-23,14719.46
82,2013-04-24,14676.3
83,2013-04-25,14700.8
84,2013-04-26,14712.55
85,2013-04-29,14818.75
86,2013-04-30,14839.8
87,2013-05-01,14700.95
88,2013-05-02,14831.58
89,2013-05-03,14973.96
90,2013-05-06,14968.89
91,2013-05-07,15056.2
92,2013-05-08,15105.12
93,2013-05-09,15082.62
94,2013-05-10,15118.49
95,2013-05-13,15091.68
96,2013-05-14,15215.25
97,2013-05-15,15275.69
98,2013-05-16,15233.22
99,2013-05-17,15354.4
100,2013-05-20,15335.28
101,2013-05-21,15387.58
102,2013-05-22,15307.17
103,2013-05-23,15294.5
104,2013-05-24,15303.1
105,2013-05-27,
106,2013-05-28,15409.39
107,2013-05-29,15302.8
108,2013-05-30,15324.53
109,2013-05-31,15115.57
110,2013-06-03,15254.03
111,2013-06-04,15177.54
112,2013-06-05,14960.59
113,2013-06-06,15040.62
114,2013-06-07,15248.12
115,2013-06-10,15238.59
116,2013-06-11,15122.02
117,2013-06-12,14995.23
118,2013-06-13,15176.08
119,2013-06-14,15070.18
120,2013-06-17,15179.85
121,2013-06-18,15318.23
