,date,value
0,1981-04-13,675.4
1,1981-04-14,676.7
2,1981-04-15,676.7
3,1981-04-16,676.7
4,1981-04-17,676.75
5,1981-04-20,676.7
6,1981-04-21,676.7
7,1981-04-22,676.7
8,1981-04-23,676.7
9,1981-04-24,678.1
10,1981-04-27,678.1
11,1981-04-28,678.1
12,1981-04-29,678.1
13,1981-04-30,678.9
14,1981-05-01,679.6
15,1981-05-04,679.6
16,1981-05-05,679.6
17,1981-05-06,680.1
18,1981-05-07,680.1
19,1981-05-08,680.4
20,1981-05-11,680.4
21,1981-05-12,680.8
22,1981-05-13,680.8
23,1981-05-14,682.1
24,1981-05-15,682.8
25,1981-05-18,682.9
26,1981-05-19,682.9
27,1981-05-20,683.1
28,1981-05-21,683.1
29,1981-05-22,683.1
30,1981-05-25,
31,1981-05-26,683.8
32,1981-05-27,684.1
33,1981-05-28,684.4
34,1981-05-29,684.4
35,1981-06-01,684.4
36,1981-06-02,684.4
37,1981-06-03,684.4
38,1981-06-04,684.4
39,1981-06-05,684.6
40,1981-06-08,684.6
41,1981-06-09,684.6
42,1981-06-10,684.6
43,1981-06-11,684.6
44,1981-06-12,684.6
45,1981-06-15,684.6
46,1981-06-16,684.6
47,1981-06-17,684.6
48,1981-06-18,684.6
49,1981-06-19,684.6
50,1981-06-22,684.6
51,1981-06-23,684.6
52,1981-06-24,684.6
53,1981-06-25,684.6
54,1981-06-26,683.2
55,1981-06-29,683.2
56,1981-06-30,683.2
57,1981-07-01,683.2
58,1981-07-02,685.8
59,1981-07-03,686.1
60,1981-07-06,686.1
61,1981-07-07,686.7
62,1981-07-08,686.7
63,1981-07-09,686.7
64,1981-07-10,686.7
65,1981-07-13,686.7
66,1981-07-14,686.7
67,1981-07-15,686.7
68,1981-07-16,686.7
69,1981-07-17,686.7
70,1981-07-20,686.7
71,1981-07-21,686.7
72,1981-07-22,686.7
73,1981-07-23,686.7
74,1981-07-24,686.7
75,1981-07-27,686.7
76,1981-07-28,686.7
77,1981-07-29,686.7
78,1981-07-30,686.7
79,1981-07-31,686.95
80,1981-08-03,687.25
81,1981-08-04,687.55
82,1981-08-05,687.85
83,1981-08-06,687.85
84,1981-08-07,687.85
85,1981-08-10,687.85
86,1981-08-11,687.85
87,1981-08-12,687.85
88,1981-08-13,687.85
89,1981-08-14,687.85
90,1981-08-17,687.85
91,1981-08-18,687.85
92,1981-08-19,687.85
93,1981-08-20,687.85
94,1981-08-21,687.85
95,1981-08-24,687.85
96,1981-08-25,687.85
97,1981-08-26,687.85
98,1981-08-27,687.85
99,1981-08-28,687.85
100,1981-08-31,687.85
101,1981-09-01,687.85
102,1981-09-02,687.85
103,1981-09-03,687.85
104,1981-09-04,687.85
105,1981-09-07,
106,1981-09-08,687.85
107,1981-09-09,687.85
108,1981-09-10,687.85
109,1981-09-11,687.85
110,1981-09-14,688.1
111,1981-09-15,688.1
112,1981-09-16,688.1
113,1981-09-17,688.1
114,1981-09-18,688.1
115,1981-09-21,688.1
116,1981-09-22,688.1
117,1981-09-23,688.1
118,1981-09-24,688.1
119,1981-09-25,681.25
120,1981-09-28,681.25
121,1981-09-29,681.25
122,1981-09-30,681.25
123,1981-10-01,681.25
124,1981-10-02,681.25
125,1981-10-05,688.1
126,1981-10-06,681.25
127,1981-10-07,681.25
128,1981-10-08,681.25
129,1981-10-09,681.25
130,1981-10-12,
131,1981-10-13,681.25
132,1981-10-14,681.25
133,1981-10-15,681.25
134,1981-10-16,685.25
135,1981-10-19,685.25
136,1981-10-20,685.25
137,1981-10-21,685.25
138,1981-10-22,685.25
139,1981-10-23,685.25
140,1981-10-26,685.25
141,1981-10-27,685.25
142,1981-10-28,685.25
143,1981-10-29,685.25
144,1981-10-30,688.25
145,1981-11-02,688.25
146,1981-11-03,
147,1981-11-04,688.25
148,1981-11-05,688.25
149,1981-11-06,688.25
150,1981-11-09,688.25
151,1981-11-10,688.25
152,1981-11-11,
153,1981-11-12,688.45
154,1981-11-13,688.45
155,1981-11-16,688.45
156,1981-11-17,688.45
157,1981-11-18,688.45
158,1981-11-19,688.45
159,1981-11-20,688.45
160,1981-11-23,688.45
161,1981-11-24,688.45
162,1981-11-25,688.8
163,1981-11-26,
164,1981-11-27,689.9
165,1981-11-30,689.9
166,1981-12-01,689.9
167,1981-12-02,689.9
168,1981-12-03,691.2
169,1981-12-04,691.75
170,1981-12-07,691.75
171,1981-12-08,691.75
172,1981-12-09,691.75
173,1981-12-10,691.75
174,1981-12-11,691.75
175,1981-12-14,695.3
176,1981-12-15,695.3
177,1981-12-16,695.3
178,1981-12-17,695.3
179,1981-12-18,696.45
180,1981-12-21,696.45
181,1981-12-22,696.45
182,1981-12-23,696.45
183,1981-12-24,696.45
184,1981-12-25,
185,1981-12-28,696.45
186,1981-12-29,700.15
187,1981-12-30,700.75
188,1981-12-31,700.75
189,1982-01-01,
190,1982-01-04,701.25
191,1982-01-05,701.25
192,1982-01-06,701.25
193,1982-01-07,702.35
194,1982-01-08,702.95
195,1982-01-11,702.95
196,1982-01-12,702.95
197,1982-01-13,704.25
198,1982-01-14,705.55
199,1982-01-15,705.55
200,1982-01-18,705.55
201,1982-01-19,706.85
202,1982-01-20,706.85
203,1982-01-21,707.15
204,1982-01-22,707.15
205,1982-01-25,707.15
206,1982-01-26,707.15
207,1982-01-27,708.35
208,1982-01-28,708.35
209,1982-01-29,708.55
210,1982-02-01,708.55
211,1982-02-02,708.85
212,1982-02-03,709.25
213,1982-02-04,709.25
214,1982-02-05,709.25
215,1982-02-08,709.25
216,1982-02-09,709.25
217,1982-02-10,709.75
218,1982-02-11,709.75
219,1982-02-12,
220,1982-02-15,
221,1982-02-16,710.8
222,1982-02-17,710.8
223,1982-02-18,710.8
224,1982-02-19,710.8
225,1982-02-22,710.8
226,1982-02-23,710.8
227,1982-02-24,710.8
228,1982-02-25,710.8
229,1982-02-26,711.45
230,1982-03-01,712.15
231,1982-03-02,712.15
232,1982-03-03,712.15
233,1982-03-04,712.45
234,1982-03-05,712.45
235,1982-03-08,712.45
236,1982-03-09,712.45
237,1982-03-10,712.45
238,1982-03-11,712.45
239,1982-03-12,712.45
240,1982-03-15,714.55
241,1982-03-16,714.55
242,1982-03-17,715.15
243,1982-03-18,715.15
244,1982-03-19,715.55
245,1982-03-22,716.25
246,1982-03-23,716.95
247,1982-03-24,716.95
248,1982-03-25,716.95
249,1982-03-26,717.45
250,1982-03-29,718.15
251,1982-03-30,718.15
252,1982-03-31,718.15
253,1982-04-01,718.15
