,date,value
0,1980-01-01,
1,1980-01-02,148.17
2,1980-01-03,145.97
3,1980-01-04,148.02
4,1980-01-07,148.62
5,1980-01-08,150.68
6,1980-01-09,151.6
7,1980-01-10,153.12
8,1980-01-11,153.87
9,1980-01-14,154.4
10,1980-01-15,154.96
11,1980-01-16,155.99
12,1980-01-17,155.81
13,1980-01-18,156.14
14,1980-01-21,157.35
15,1980-01-22,156.92
16,1980-01-23,158.5
17,1980-01-24,159.24
18,1980-01-25,159.7
19,1980-01-28,160.7
20,1980-01-29,160.29
21,1980-01-30,161.3
22,1980-01-31,161.75
23,1980-02-01,162.3
24,1980-02-04,162.02
25,1980-02-05,162.2
26,1980-02-06,162.99
27,1980-02-07,163.77
28,1980-02-08,165.25
29,1980-02-11,164.46
30,1980-02-12,164.57
31,1980-02-13,164.98
32,1980-02-14,163.54
33,1980-02-15,162.56
34,1980-02-18,
35,1980-02-19,161.06
36,1980-02-20,162.1
37,1980-02-21,161.31
38,1980-02-22,160.08
39,1980-02-25,157.97
40,1980-02-26,158.5
41,1980-02-27,157.73
42,1980-02-28,157.46
43,1980-02-29,158.03
44,1980-03-03,156.87
45,1980-03-04,155.39
46,1980-03-05,152.94
47,1980-03-06,148.64
48,1980-03-07,146.19
49,1980-03-10,143.75
50,1980-03-11,144.56
51,1980-03-12,144.63
52,1980-03-13,144.98
53,1980-03-14,144.44
54,1980-03-17,139.7
55,1980-03-18,138.92
56,1980-03-19,139.97
57,1980-03-20,139.64
58,1980-03-21,138.8
59,1980-03-24,134.61
60,1980-03-25,132.52
61,1980-03-26,132.22
62,1980-03-27,124.09
63,1980-03-28,129.25
64,1980-03-31,131.0
65,1980-04-01,133.14
66,1980-04-02,135.8
67,1980-04-03,136.01
68,1980-04-04,
69,1980-04-07,133.4
70,1980-04-08,134.37
71,1980-04-09,136.04
72,1980-04-10,137.28
73,1980-04-11,137.75
74,1980-04-14,136.67
75,1980-04-15,136.39
76,1980-04-16,135.76
77,1980-04-17,134.55
78,1980-04-18,134.66
79,1980-04-21,133.08
80,1980-04-22,135.71
81,1980-04-23,136.92
