,date,value
0,2012-12-31,1426.19
1,2013-01-01,
2,2013-01-02,1462.42
3,2013-01-03,1459.37
4,2013-01-04,1466.47
5,2013-01-07,1461.89
6,2013-01-08,1457.15
7,2013-01-09,1461.02
8,2013-01-10,1472.12
9,2013-01-11,1472.05
10,2013-01-14,1470.68
11,2013-01-15,1472.34
12,2013-01-16,1472.63
13,2013-01-17,1480.94
14,2013-01-18,1485.98
15,2013-01-21,
16,2013-01-22,1492.56
17,2013-01-23,1494.81
18,2013-01-24,1494.82
19,2013-01-25,1502.96
20,2013-01-28,1500.18
21,2013-01-29,1507.84
22,2013-01-30,1501.96
23,2013-01-31,1498.11
24,2013-02-01,1513.17
25,2013-02-04,1495.71
26,2013-02-05,1511.29
27,2013-02-06,1512.12
28,2013-02-07,1509.39
29,2013-02-08,1517.93
30,2013-02-11,1517.01
31,2013-02-12,1519.43
32,2013-02-13,1520.33
33,2013-02-14,1521.38
34,2013-02-15,1519.79
35,2013-02-18,
36,2013-02-19,1530.94
37,2013-02-20,1511.95
38,2013-02-21,1502.42
39,2013-02-22,1515.6
40,2013-02-25,1487.85
41,2013-02-26,1496.94
42,2013-02-27,1515.99
43,2013-02-28,1514.68
44,2013-03-01,1518.2
45,2013-03-04,1525.2
46,2013-03-05,1539.79
47,2013-03-06,1541.46
48,2013-03-07,1544.26
49,2013-03-08,1551.18
50,2013-03-11,1556.22
51,2013-03-12,1552.48
52,2013-03-13,1554.52
53,2013-03-14,1563.23
54,2013-03-15,1560.7
55,2013-03-18,1552.1
56,2013-03-19,1548.34
57,2013-03-20,1558.71
58,2013-03-21,1545.8
59,2013-03-22,1556.89
60,2013-03-25,1551.69
61,2013-03-26,1563.77
62,2013-03-27,1562.85
63,2013-03-28,1569.19
64,2013-03-29,
65,2013-04-01,1562.17
66,2013-04-02,1570.25
67,2013-04-03,1553.69
68,2013-04-04,1559.98
69,2013-04-05,1553.28
70,2013-04-08,1563.07
71,2013-04-09,1568.61
72,2013-04-10,1587.73
73,2013-04-11,1593.37
74,2013-04-12,1588.85
75,2013-04-15,1552.36
76,2013-04-16,1574.57
77,2013-04-17,1552.01
78,2013-04-18,1541.61
79,2013-04-19,1555.25
80,2013-04-22,1562.5
81,2013-04-23,1578.78
82,2013-04-24,1578.79
83,2013-04-25,1585.16
84,2013-04-26,1582.24
85,2013-04-29,1593.61
86,2013-04-30,1597.57
87,2013-05-01,1582.7
88,2013-05-02,1597.59
89,2013-05-03,1614.42
90,2013-05-06,1617.5
91,2013-05-07,1625.96
92,2013-05-08,1632.69
93,2013-05-09,1626.67
94,2013-05-10,1633.7
95,2013-05-13,1633.77
96,2013-05-14,1650.34
97,2013-05-15,1658.78
98,2013-05-16,1650.47
99,2013-05-17,1667.47
100,2013-05-20,1666.29
101,2013-05-21,1669.16
102,2013-05-22,1655.35
103,2013-05-23,1650.51
104,2013-05-24,1649.6
105,2013-05-27,
106,2013-05-28,1660.06
107,2013-05-29,1648.36
108,2013-05-30,1654.41
109,2013-05-31,1630.74
110,2013-06-03,1640.42
111,2013-06-04,1631.38
112,2013-06-05,1608.9
113,2013-06-06,1622.56
114,2013-06-07,1643.38
115,2013-06-10,1642.81
116,2013-06-11,1626.13
117,2013-06-12,1612.52
118,2013-06-13,1636.36
119,2013-06-14,1626.73
120,2013-06-17,1639.04
121,2013-06-18,1651.81
122,2013-06-19,1628.93
123,2013-06-20,1588.19
124,2013-06-21,1592.43
125,2013-06-24,1573.09
126,2013-06-25,1588.03
127,2013-06-26,1603.26
128,2013-06-27,1613.2
129,2013-06-28,1606.28
130,2013-07-01,1614.96
131,2013-07-02,1614.08
132,2013-07-03,1615.41
133,2013-07-04,
134,2013-07-05,1631.89
135,2013-07-08,1640.46
136,2013-07-09,1652.32
137,2013-07-10,1652.62
138,2013-07-11,1675.02
139,2013-07-12,1680.19
140,2013-07-15,1682.5
141,2013-07-16,1676.26
142,2013-07-17,1680.91
143,2013-07-18,1689.37
144,2013-07-19,1692.09
145,2013-07-22,1695.53
146,2013-07-23,1692.39
147,2013-07-24,1685.94
148,2013-07-25,1690.25
149,2013-07-26,1691.65
150,2013-07-29,1685.33
151,2013-07-30,1685.96
152,2013-07-31,1685.73
153,2013-08-01,1706.87
154,2013-08-02,1709.67
155,2013-08-05,1707.14
156,2013-08-06,1697.37
157,2013-08-07,1690.91
158,2013-08-08,1697.48
159,2013-08-09,1691.42
160,2013-08-12,1689.47
161,2013-08-13,1694.16
162,2013-08-14,1685.39
163,2013-08-15,1661.32
164,2013-08-16,1655.83
165,2013-08-19,1646.06
166,2013-08-20,1652.35
167,2013-08-21,1642.8
168,2013-08-22,1656.96
169,2013-08-23,1663.5
170,2013-08-26,1656.78
171,2013-08-27,1630.48
172,2013-08-28,1634.96
173,2013-08-29,1638.17
174,2013-08-30,1632.97
175,2013-09-02,
176,2013-09-03,1639.77
177,2013-09-04,1653.08
178,2013-09-05,1655.08
179,2013-09-06,1655.17
180,2013-09-09,1671.71
181,2013-09-10,1683.99
182,2013-09-11,1689.13
183,2013-09-12,1683.42
184,2013-09-13,1687.99
185,2013-09-16,1697.6
186,2013-09-17,1704.76
187,2013-09-18,1725.52
188,2013-09-19,1722.34
189,2013-09-20,1709.91
190,2013-09-23,1701.84
191,2013-09-24,1697.42
192,2013-09-25,1692.77
193,2013-09-26,1698.67
194,2013-09-27,1691.75
195,2013-09-30,1681.55
196,2013-10-01,1695.0
197,2013-10-02,1693.87
198,2013-10-03,1678.66
199,2013-10-04,1690.5
200,2013-10-07,1676.12
201,2013-10-08,1655.45
202,2013-10-09,1656.4
203,2013-10-10,1692.56
204,2013-10-11,1703.2
205,2013-10-14,1710.14
206,2013-10-15,1698.06
207,2013-10-16,1721.54
208,2013-10-17,1733.15
209,2013-10-18,1744.5
210,2013-10-21,1744.66
